code,node_id_old,node_id_new
PR0021741,19288,15714
PR0021742,19289,15715
PR0021711,19404,15730
PR0021710,19406,15731
PR0021696,19479,15743
PR0021694,19487,15744
PR0021689,19499,15745
PR0021688,19501,15746
PR0002025,46801,21192
PR0011045,48321,21452
PR0021656,19591,15760
PR0021655,19593,15761
PR0021654,19595,15762
PR0021639,19623,15775
PR0021635,19625,15776
PR0021522,20133,15862
PR0021511,20167,15873
PR0011046,48325,21453
PR0011047,48329,21454
PR0002464,48356,21469
PR0001105,48544,21519
PR0003552,48608,21552
PR0020485,29516,17714
PR0020506,29710,17715
PR0020472,29938,17727
PR0020471,29939,17728
PR0021509,20177,15874
PR0030070,20189,15875
PR0030068,20190,15876
PR0021490,20301,15890
PR0021491,20302,15891
PR0021483,20386,15904
PR0021481,20388,15905
PR0021443,21080,15933
PR0021442,21082,15934
PR0021437,21090,15935
PR0021401,21710,15960
PR0004741,26341,16751
PR0010975,48836,21616
PR0021387,21841,15974
PR0021386,21843,15975
PR0021373,21991,15988
PR0021364,22016,15989
PR0021363,22017,15990
PR0020406,30687,17845
PR0020002,30731,17861
PR0010718,30837,17901
PR0000714,50131,21728
PR0000763,50148,21743
PR0000771,50149,21744
PR0005526,50165,21760
PR0000831,50166,21761
PR0000662,50182,21776
PR0000660,50183,21777
PR0000659,50184,21778
PR0000821,50233,21826
PR0000612,50234,21827
PR0021273,22414,16053
PR0021107,22553,16066
PR0021261,22559,16067
PR0021260,22569,16068
PR0021238,22643,16081
PR0004755,26353,16761
PR0004156,39443,19425
PR0004757,26355,16762
PR0001357,50247,21840
PR0001342,50248,21841
PR0001356,50250,21843
PR0000812,50252,21844
PR0004863,33932,18141
PR0002378,50272,21857
PR0002377,50273,21858
PR0002368,50274,21859
PR0021237,22645,16082
PR0021236,22648,16083
PR0021203,23521,16097
PR0021189,23559,16112
PR0021188,23562,16113
PR0004753,26358,16764
PR0002376,50277,21860
PR0002369,50278,21861
PR0004324,34229,18317
PR0000496,51219,21992
PR0000451,51233,22005
PR0000436,51234,22006
PR0000450,51235,22007
PR0000412,51236,22008
PR0000385,51313,22072
PR0003174,51569,22085
PR0010670,51697,22086
PR0009943,1926,22896
PR0021174,23644,16125
PR0021172,23648,16126
PR0021171,23659,16127
PR0004770,26359,16765
PR0004773,26360,16766
PR0004778,26382,16782
PR0020097,35095,18496
PR0020065,35620,18528
PR0020066,35621,18529
PR0010666,51751,22088
PR0010690,51957,22101
PR0010689,51962,22102
PR0003287,52246,22171
PR0023740,5666,13784
PR0021164,23740,16133
PR0021111,23874,16149
PR0021109,23877,16151
PR0002187,24280,16167
PR0002186,24284,16168
PR0002185,24286,16169
PR0002516,24295,16170
PR0002125,24376,16183
PR0002124,24378,16184
PR0004964,24460,16219
PR0023677,5916,13841
PR0022081,17294,15371
PR0024315,364,12235
PR0020085,9452,12276
PR0022871,11495,12286
PR0022775,12269,12288
PR0004620,26399,16795
PR0004619,26400,16796
PR0004598,26401,16797
PR0005039,26415,16807
PR0005036,26416,16808
PR0010046,36421,18729
PR0002160,25686,16477
PR0004574,26489,16870
PR0004607,26491,16871
PR0004636,26502,16882
PR0004634,26503,16883
PR0004631,26504,16884
PR0022487,14426,15019
PR0023531,7207,14061
PR0022817,12039,14777
